,CSP_TKE_RS,CSP_TKE_SH,CSP_TKE_BU,CSP_TKE_TR,CSP_TKE_DI,CSP_TKE_SGS,CSP_TKE,CSP_TKE_TEND,CSP_P
43,3.958865e-07,-3.5931553e-11,9.98828e-11,0.0,0.0,0.0,3.958865e-07,2.8019694e-11,68631.67
44,4.0356002e-07,-4.015335e-11,1.0128759e-10,0.0,0.0,0.0,4.0356002e-07,2.0980887e-11,68631.68
45,4.0714835e-07,-3.1959407e-11,5.1316763e-11,0.0,0.0,0.0,4.0714835e-07,-1.2602051e-11,68631.68
46,4.0812532e-07,-2.1022958e-11,-2.3389261e-11,0.0,0.0,0.0,4.0812532e-07,-6.543517e-11,68631.69
47,4.055686e-07,-2.8672955e-11,-4.141866e-11,0.0,0.0,0.0,4.055686e-07,-9.8764566e-11,68631.69
48,4.0191395e-07,-5.0568882e-11,1.8845512e-11,0.0,0.0,0.0,4.0191395e-07,-8.2292256e-11,68631.695
49,3.9576597e-07,-6.103125e-11,8.0345966e-11,0.0,0.0,0.0,3.9576597e-07,-4.1716533e-11,68631.7
50,3.877234e-07,-6.624706e-11,1.5468167e-10,0.0,0.0,0.0,3.877234e-07,2.2187543e-11,68631.7
51,3.7931184e-07,-8.0768316e-11,2.7401423e-10,0.0,0.0,0.0,3.7931184e-07,1.12477604e-10,68631.7
52,3.697143e-07,-9.5288125e-11,3.3646594e-10,0.0,0.0,0.0,3.697143e-07,1.4588968e-10,68631.71
53,3.5697235e-07,-9.583942e-11,3.2834468e-10,0.0,0.0,0.0,3.5697235e-07,1.3666585e-10,68631.71
54,3.4406585e-07,-8.1991365e-11,3.2961764e-10,0.0,0.0,0.0,3.4406585e-07,1.6563492e-10,68631.71
55,3.3481655e-07,-6.661652e-11,2.8595767e-10,0.0,0.0,0.0,3.3481655e-07,1.5272464e-10,68631.71
56,3.2819602e-07,-4.435085e-11,2.3645402e-10,0.0,0.0,0.0,3.2819602e-07,1.4775231e-10,68631.71
57,3.2482933e-07,-1.7044767e-11,2.0850585e-10,0.0,0.0,0.0,3.2482933e-07,1.7441631e-10,68631.72
58,3.2668316e-07,2.6439701e-12,2.7878735e-10,0.0,0.0,0.0,3.2668316e-07,2.840753e-10,68631.72
59,3.3184895e-07,1.0917037e-11,3.6076198e-10,0.0,0.0,0.0,3.3184895e-07,3.8259607e-10,68631.72
60,3.3794427e-07,1.350692e-11,3.8997738e-10,0.0,0.0,0.0,3.3794427e-07,4.1699122e-10,68631.72
61,3.4389086e-07,1.6369583e-11,3.4463582e-10,0.0,0.0,0.0,3.4389086e-07,3.7737496e-10,68631.72
62,3.4971922e-07,2.1339411e-11,2.2715133e-10,0.0,0.0,0.0,3.4971922e-07,2.6983013e-10,68631.72
63,3.5523973e-07,2.1252989e-11,2.0062314e-10,0.0,0.0,0.0,3.5523973e-07,2.4312913e-10,68631.72
64,3.6251106e-07,1.2882734e-11,2.890985e-10,0.0,0.0,0.0,3.6251106e-07,3.1486394e-10,68631.72
65,3.710049e-07,-4.1005307e-12,3.8598905e-10,0.0,0.0,0.0,3.710049e-07,3.77788e-10,68631.72
66,3.772957e-07,-1.8298023e-11,3.9885636e-10,0.0,0.0,0.0,3.772957e-07,3.622603e-10,68631.71
67,3.8239924e-07,-2.0009293e-11,3.489552e-10,0.0,0.0,0.0,3.8239924e-07,3.089366e-10,68631.71
68,3.8720293e-07,-1.5792354e-11,2.9867814e-10,0.0,0.0,0.0,3.8720293e-07,2.670934e-10,68631.71
69,3.9371747e-07,-1.1236919e-11,3.5059222e-10,0.0,0.0,0.0,3.9371747e-07,3.2811837e-10,68631.71
